2020-12-07 00:13:10.467 [main] INFO  com.linghang.skimlessons.SkimlessonsApplication - Starting SkimlessonsApplication using Java 1.8.0_251 on DESKTOP-CE12G9K with PID 3068 (D:\Microsoft Visual Studio\MyProjects\Homework\JAVA\Skimlessons\target\classes started by 田 in D:\Microsoft Visual Studio\MyProjects\Homework\JAVA\Skimlessons)
2020-12-07 00:13:10.481 [main] INFO  com.linghang.skimlessons.SkimlessonsApplication - The following profiles are active: dev
2020-12-07 00:13:12.261 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-12-07 00:13:12.279 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-12-07 00:13:12.297 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-12-07 00:13:12.298 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.39]
2020-12-07 00:13:12.301 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.24] using APR version [1.7.0].
2020-12-07 00:13:12.302 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-12-07 00:13:12.302 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-12-07 00:13:12.390 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2020-12-07 00:13:12.566 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-12-07 00:13:12.566 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2011 ms
2020-12-07 00:13:13.477 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-07 00:13:14.032 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-12-07 00:13:14.075 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-12-07 00:13:14.094 [main] INFO  com.linghang.skimlessons.SkimlessonsApplication - Started SkimlessonsApplication in 5.017 seconds (JVM running for 6.895)
2020-12-07 00:13:53.097 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-07 00:13:53.098 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-12-07 00:13:53.101 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2020-12-07 00:13:53.632 [http-nio-8080-exec-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-12-07 09:45:47.870 [main] INFO  com.linghang.skimlessons.SkimlessonsApplication - Starting SkimlessonsApplication using Java 1.8.0_251 on DESKTOP-CE12G9K with PID 16440 (D:\Microsoft Visual Studio\MyProjects\Homework\JAVA\Skimlessons\target\classes started by 田 in D:\Microsoft Visual Studio\MyProjects\Homework\JAVA\Skimlessons)
2020-12-07 09:45:47.887 [main] INFO  com.linghang.skimlessons.SkimlessonsApplication - The following profiles are active: dev
2020-12-07 09:45:49.112 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-12-07 09:45:49.126 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-12-07 09:45:49.126 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-12-07 09:45:49.127 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.39]
2020-12-07 09:45:49.128 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.24] using APR version [1.7.0].
2020-12-07 09:45:49.128 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2020-12-07 09:45:49.128 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2020-12-07 09:45:49.164 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2020-12-07 09:45:49.273 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-12-07 09:45:49.273 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1314 ms
2020-12-07 09:45:49.830 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-07 09:45:50.073 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-12-07 09:45:50.087 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-12-07 09:45:50.095 [main] INFO  com.linghang.skimlessons.SkimlessonsApplication - Started SkimlessonsApplication in 2.923 seconds (JVM running for 3.819)
2020-12-07 09:45:56.035 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-07 09:45:56.036 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-12-07 09:45:56.037 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2020-12-07 09:45:56.126 [http-nio-8080-exec-1] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-12-07 09:51:12.077 [main] INFO  com.linghang.skimlessons.dao.DaoTest - Starting DaoTest using Java 1.8.0_131 on DESKTOP-CE12G9K with PID 19760 (started by 田 in D:\Microsoft Visual Studio\MyProjects\Homework\JAVA\Skimlessons)
2020-12-07 09:51:12.079 [main] INFO  com.linghang.skimlessons.dao.DaoTest - The following profiles are active: dev
2020-12-07 09:51:13.684 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-12-07 09:51:14.092 [main] INFO  com.linghang.skimlessons.dao.DaoTest - Started DaoTest in 2.398 seconds (JVM running for 3.38)
